iter	Passed	Remaining
693	1154	508
694	1155	507
695	1156	505
696	1157	503
697	1159	501
698	1161	500
699	1163	498
700	1165	496
701	1166	495
702	1167	493
703	1168	491
704	1169	489
705	1170	487
706	1172	485
707	1173	484
708	1175	482
709	1178	481
710	1180	479
711	1182	478
712	1184	476
713	1187	475
714	1188	473
715	1191	472
716	1193	471
717	1195	469
718	1196	467
719	1198	465
720	1199	464
721	1200	462
722	1202	460
723	1204	459
724	1208	458
725	1210	456
726	1211	454
727	1212	452
728	1213	450
729	1214	449
730	1215	447
731	1215	445
732	1216	443
733	1217	441
734	1220	440
735	1222	438
736	1223	436
737	1224	434
738	1225	432
739	1226	431
740	1227	429
741	1229	427
742	1230	425
743	1231	423
744	1232	421
745	1235	420
746	1237	419
747	1238	417
748	1239	415
749	1240	413
750	1241	411
751	1242	409
752	1243	408
753	1244	406
754	1245	404
755	1246	402
756	1248	400
757	1250	399
758	1252	397
759	1253	395
760	1254	393
761	1255	392
762	1256	390
763	1257	388
764	1258	386
765	1259	384
766	1260	382
767	1261	381
768	1262	379
769	1265	377
770	1266	376
771	1267	374
772	1269	372
773	1270	370
774	1271	369
775	1272	367
776	1273	365
777	1274	363
778	1275	361
779	1276	360
780	1277	358
781	1280	356
782	1281	355
783	1282	353
784	1283	351
785	1284	349
786	1285	347
787	1286	346
788	1287	344
789	1288	342
790	1289	340
791	1289	338
792	1290	336
793	1292	335
794	1295	333
795	1297	332
796	1298	330
797	1299	328
798	1300	327
799	1301	325
800	1302	323
801	1303	321
802	1304	320
803	1305	318
804	1306	316
805	1309	315
806	1311	313
807	1312	311
808	1313	310
809	1314	308
810	1315	306
811	1316	304
812	1317	303
813	1318	301
814	1319	299
815	1320	297
816	1322	296
817	1325	294
818	1326	293
819	1327	291
820	1328	289
821	1329	287
822	1330	286
823	1331	284
824	1332	282
825	1333	280
826	1334	279
827	1335	277
828	1337	275
829	1339	274
830	1340	272
831	1341	270
832	1342	269
833	1343	267
834	1345	265
835	1346	264
836	1347	262
837	1348	260
838	1349	258
839	1349	257
840	1352	255
841	1354	254
842	1355	252
843	1356	250
844	1357	249
845	1358	247
846	1359	245
847	1360	243
848	1361	242
849	1362	240
850	1363	238
851	1364	236
852	1365	235
853	1368	234
854	1370	232
855	1371	230
856	1372	229
857	1373	227
858	1374	225
859	1375	223
860	1376	222
861	1377	220
862	1378	218
863	1379	217
864	1381	215
865	1384	214
866	1385	212
867	1386	210
868	1387	209
869	1389	207
870	1390	205
871	1391	204
872	1392	202
873	1393	200
874	1394	199
875	1397	197
876	1399	196
877	1400	194
878	1401	192
879	1402	191
880	1403	189
881	1404	187
882	1405	186
883	1406	184
884	1407	182
885	1408	181
886	1409	179
887	1410	177
888	1412	176
889	1413	174
890	1414	173
891	1415	171
892	1416	169
893	1417	168
894	1418	166
895	1419	164
896	1420	163
897	1421	161
898	1422	159
899	1423	158
900	1425	156
901	1426	155
902	1427	153
903	1428	151
904	1429	150
905	1430	148
906	1431	146
907	1432	145
908	1433	143
909	1434	141
910	1435	140
911	1436	138
912	1437	136
913	1438	135
914	1440	133
915	1441	132
916	1443	130
917	1443	128
918	1444	127
919	1446	125
920	1447	124
921	1448	122
922	1449	120
923	1450	119
924	1451	117
925	1451	116
926	1453	114
927	1454	112
928	1455	111
929	1456	109
930	1457	108
931	1458	106
932	1459	104
933	1460	103
934	1461	101
935	1462	100
936	1463	98
937	1464	96
938	1465	95
939	1466	93
940	1467	92
941	1468	90
942	1470	88
943	1471	87
944	1472	85
945	1473	84
946	1474	82
947	1475	80
948	1476	79
949	1477	77
950	1478	76
951	1479	74
952	1480	73
953	1481	71
954	1482	69
955	1483	68
956	1485	66
957	1486	65
958	1487	63
959	1488	62
960	1490	60
961	1491	58
962	1492	57
963	1493	55
964	1494	54
965	1495	52
966	1496	51
967	1497	49
968	1499	47
969	1500	46
970	1501	44
971	1502	43
972	1503	41
973	1504	40
974	1505	38
975	1506	37
976	1507	35
977	1508	33
978	1509	32
979	1510	30
980	1511	29
981	1512	27
982	1514	26
983	1515	24
984	1516	23
985	1517	21
986	1518	19
987	1519	18
988	1520	16
989	1521	15
990	1522	13
991	1523	12
992	1524	10
993	1525	9
994	1526	7
995	1527	6
996	1529	4
997	1530	3
998	1531	1
999	1532	0
